user_id,sku_id
200001,161251
200002,8792
200003,16141
200004,111569
200005,72967
200010,84409
200012,26634
200013,5239
200014,72967
200015,99410
200016,19246
200017,24220
200018,6533
200019,122341
200020,121048
200022,106487
200024,55092
200025,110680
200028,103132
200032,157215
200033,44854
200038,60861
200040,18412
200041,91957
200043,77176
200044,162108
200045,131403
200046,107012
200047,72967
200050,166876
200051,97025
200053,92555
200054,93621
200055,14163
200056,124470
200057,27659
200058,94561
200059,59366
200062,124470
200063,111569
200066,141460
200067,153395
200068,42199
200069,22469
200070,111778
200071,50986
200075,73427
200077,111778
200078,65520
200080,84389
200082,153698
200085,13334
200087,117310
200088,12564
200089,164258
200090,90761
200091,8585
200092,131364
200093,68654
200095,167518
200096,52343
200098,10098
200100,16203
200101,32465
200102,121026
200104,111527
200105,150801
200106,19711
200107,21457
200108,51570
200109,6866
200113,124286
200116,71801
200118,53906
200119,141614
200120,85406
200122,9069
200123,20308
200127,16824
200128,13349
200129,117144
200130,86742
200131,5888
200133,103234
200134,129564
200135,142606
200136,111391
200139,103234
200144,95976
200146,21147
200147,86604
200151,48061
200152,112839
200153,24371
200154,62400
200155,152478
200156,2340
200159,45656
200162,6809
200164,164643
200165,88764
200166,46990
200167,72354
200168,42667
200169,116489
200171,5503
200172,165391
200175,161565
200176,164318
200177,51283
200179,145895
200182,91957
200186,54209
200187,166725
200188,83201
200190,135272
200191,24371
200192,93759
200193,25987
200196,41512
200200,122745
200210,211
200211,62863
200212,3067
200213,77109
200214,36638
200215,315
200216,107318
200217,103132
200220,38805
200222,164318
200223,152061
200224,14098
200225,76270
200228,70839
200229,21147
200231,152119
200232,148302
200235,133029
200236,18585
200238,88414
200239,6533
200240,142762
200241,102034
200242,103234
200243,107012
200244,156088
200245,31493
200247,103132
200248,105630
200251,117882
200252,128567
200254,63360
200257,161871
200260,144264
200262,1628
200263,105352
200265,116894
200266,37427
200267,132835
200268,157827
200269,87344
200270,88295
200271,49474
200272,110974
200273,20808
200274,43873
200275,65914
200276,151546
200278,136538
200279,74049
200282,101181
200283,98008
200285,14739
200287,108097
200289,27844
200290,26857
200292,42199
200293,109726
200295,153395
200297,6533
200298,78508
200299,126535
200300,38222
200301,65187
200305,98008
200306,142477
200312,105244
200314,32015
200317,134857
200318,93169
200319,157215
200320,108399
200321,125756
200322,56211
200324,23757
200325,31662
200327,84389
200328,102034
200331,8893
200336,128988
200339,84389
200342,72855
200343,135272
200346,3706
200347,32465
200352,154495
200353,125699
200354,14433
200355,59409
200357,2709
200360,81462
200361,97025
200362,6530
200363,4366
200364,143139
200367,101664
200369,14844
200371,130683
200373,52343
200374,5007
200377,83201
200378,126906
200379,90456
200381,146523
200383,37957
200384,5503
200385,40491
200386,69355
200389,5916
200390,125460
200394,101412
200395,155223
200398,133005
200399,156484
200400,57018
200401,127897
200404,131300
200406,37957
200407,69460
200408,157597
200409,26372
200413,72967
200416,3067
200417,20719
200419,10353
200421,34199
200422,63006
200423,901
200425,166707
200426,157597
200427,72767
200429,113305
200431,149841
200433,5505
200434,129598
200435,124997
200436,64467
200440,42199
200441,119079
200442,55997
200443,112068
200445,5505
200446,98008
200447,149841
200448,71110
200449,91182
200451,59175
200452,47193
200454,1058
200456,80771
200457,63500
200458,103652
200460,64160
200462,62863
200463,73515
200467,111778
200469,2072
200470,36638
200471,29411
200472,150879
200474,19662
200475,105352
200476,147796
200479,103594
200480,81802
200482,3318
200483,48895
200485,154636
200486,144960
200490,83048
200491,152478
200492,81515
200493,108858
200496,33862
200497,169726
200500,1628
200503,149841
200504,75877
200506,166707
200507,78343
200508,135409
200510,16561
200512,32465
200513,12564
200515,56797
200516,124997
200519,126641
200520,62476
200521,112332
200524,93180
200525,86220
200526,76624
200528,154636
200530,91721
200531,66291
200532,58768
200535,16203
200538,135272
200540,6533
200541,111778
200542,107012
200543,155017
200544,135272
200546,105555
200548,89802
200550,159430
200555,120615
200556,128988
200557,862
200559,72967
200564,160476
200566,149641
200568,117882
200569,94963
200571,102243
200574,22962
200575,83384
200576,144208
200584,65520
200585,112031
200586,22876
200587,118167
200590,24169
200591,37987
200592,147796
200593,8832
200595,160209
200596,129131
200598,9320
200599,63844
200602,384
200603,166876
200604,79636
200605,3067
200607,147218
200612,43062
200613,107012
200614,9702
200617,76041
200618,5916
200619,84409
200620,21147
200621,32193
200623,33445
200624,50684
200626,152478
200627,135272
200629,142497
200630,59580
200633,160476
200635,83048
200636,126146
200638,148974
200639,84954
200641,45656
200642,15117
200645,26162
200646,32465
200647,33445
200648,49474
200650,96959
200651,111778
200654,90444
200655,65441
200658,85687
200662,70839
200664,112068
200665,34314
200666,80980
200667,102098
200668,1914
200669,145946
200670,155389
200671,67202
200672,75877
200674,164544
200677,68615
200678,131300
200679,165075
200682,79405
200684,20719
200688,76996
200689,145038
200692,150354
200693,169819
200694,9968
200697,88764
200698,143981
200700,116204
200701,61963
200703,166897
200705,145641
200706,81462
200709,72967
200712,39216
200713,132835
200714,124431
200715,5916
200716,22086
200717,75877
200720,18412
200721,14181
200723,74517
200725,2100
200728,121196
200730,60382
200731,5916
200732,70352
200733,2100
200734,14163
200735,92933
200737,21147
200739,9112
200741,18412
200742,65142
200743,62863
200744,107012
200745,86220
200755,96506
200756,57018
200757,32465
200760,14163
200761,80499
200763,78371
200767,65914
200771,67241
200772,53371
200773,139648
200774,40336
200775,6468
200776,65817
200777,59175
200778,129598
200779,69262
200780,19253
200781,143527
200783,156696
200787,41310
200788,115215
200789,112141
200792,95850
200793,88295
200795,12564
200796,89802
200797,91922
200798,162573
200801,103652
200803,63006
200806,7746
200810,12564
200811,119979
200812,145895
200813,138853
200814,170215
200815,122497
200817,139840
200818,157597
200819,118008
200822,44854
200823,36692
200824,51384
200827,55792
200828,84409
200829,138778
200831,160349
200834,111391
200835,169
200836,128988
200838,56550
200839,152478
200842,25987
200844,38002
200845,43960
200847,19205
200848,132457
200852,128872
200853,83690
200854,5505
200855,14577
200856,37427
200857,74517
200859,54210
200860,126759
200862,128988
200863,28276
200865,12564
200866,12540
200868,143930
200869,32465
200870,160476
200871,20719
200874,18031
200876,42199
200877,12564
200878,163680
200885,151327
200887,5916
200889,9159
200890,21147
200895,81708
200896,18103
200897,125756
200899,98445
200901,138778
200903,84544
200906,52343
200907,73427
200908,111840
200911,87127
200913,20869
200914,91048
200917,29411
200922,39253
200923,13334
200924,109349
200925,14577
200926,93169
200928,42721
200929,117210
200932,24810
200934,148258
200935,37995
200937,111225
200938,91827
200939,67796
200943,153551
200945,34585
200946,153551
200947,146704
200950,105971
200951,107178
200952,19253
200956,164215
200957,52283
200958,44854
200959,68615
200962,125756
200964,96838
200965,31662
200966,73515
200971,72967
200973,153395
200974,87181
200977,128567
200979,60755
200980,117144
200983,54265
200984,135865
200987,122341
200990,78256
200991,117210
200992,12564
200994,37427
200997,108336
200998,69586
201000,144759
201001,22962
201002,115215
201005,56618
201006,164258
201007,79636
201008,38108
201009,151327
201011,136526
201012,32465
201013,154132
201014,113675
201016,144312
201018,14181
201020,142477
201021,143981
201022,166707
201023,131619
201024,16222
201025,103234
201027,12564
201031,157215
201034,136526
201035,45980
201036,56777
201037,63006
201040,127735
201042,47193
201043,37009
201045,52596
201047,111153
201048,126535
201049,115215
201050,31662
201051,82824
201052,9069
201053,8832
201054,96112
201057,7881
201058,165290
201060,37009
201061,116670
201064,20819
201065,117882
201067,153395
201068,28276
201070,59256
201071,55528
201072,108336
201076,62877
201077,126035
201078,103594
201081,148928
201082,23757
201084,71736
201085,81163
201086,101181
201088,33186
201089,157850
201091,146523
201093,49428
201094,64167
201095,14577
201096,129598
201098,115863
201100,73427
201101,136434
201103,154732
201104,147433
201106,63006
201107,114568
201110,34517
201111,7975
201112,152478
201113,92909
201114,110904
201117,12564
201119,144129
201120,94944
201121,138151
201122,50705
201124,31662
201125,164258
201127,51916
201128,146121
201129,126623
201130,54210
201132,120991
201134,126146
201137,32465
201138,67444
201140,163550
201141,44854
201143,14163
201144,9860
201146,75588
201147,37009
201148,138778
201149,103132
201150,37957
